type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase,latency_mem_ptr_chase_ram,bandwidth_ram
DDR4-1.3333333,0,0,103020118740.6297,203.52147426134633,190.0,130.9076522726913,103071422268.0
DDR4-1.3333333,0,5,98543812893.55322,169.49802637104222,150.0,113.47819633695491,98571352980.0
DDR4-1.3333333,0,10,95115101649.17543,150.31591537713985,131.9047619047619,106.07123290178082,95138044428.0
DDR4-1.3333333,0,15,85233108245.87706,126.1581002771479,108.09523809523809,99.27900473197512,85251760674.0
DDR4-1.3333333,0,20,79031028485.75713,115.45013259541103,97.61904761904762,92.41056606026414,79062855126.0
DDR4-1.3333333,0,25,75946343628.18591,112.63276550289537,89.04761904761904,86.63064516576613,75982311366.0
DDR4-1.3333333,0,30,74488429385.30736,111.54366462031966,90.95238095238095,88.1318759532969,74529726732.0
DDR4-1.3333333,0,35,71701291754.12294,106.89259141156462,86.66666666666666,84.35770185894255,71714462094.0
DDR4-1.3333333,0,40,63426322038.980515,98.00484510350903,74.28571428571428,73.4968563374214,63435979488.0
DDR4-1.3333333,0,45,60767270764.61769,95.72622615479759,71.42857142857143,71.05700652642516,60780366120.0
DDR4-1.3333333,0,50,59867979610.19491,94.89366024187453,74.76190476190476,74.32500185812503,59872450326.0
DDR4-1.3333333,0,55,58245709145.42729,93.09894025637465,71.42857142857143,71.01699177542478,58255376514.0
DDR4-1.3333333,0,60,56941605997.0015,92.30897223754367,70.95238095238095,70.41214076030352,56942285160.0
DDR4-1.3333333,0,65,55555761319.34033,90.71501133786848,69.04761904761905,68.42298321057459,55583233596.0
DDR4-1.3333333,0,70,54471359520.239876,89.69249015395631,66.19047619047619,65.72954339323857,54478978998.0
DDR4-1.3333333,0,80,51645265367.31634,87.50614861329147,65.23809523809524,64.57133561428338,51659682768.0
DDR4-1.3333333,0,90,47151361919.04048,84.74010225208096,62.38095238095238,61.96216129905403,47164048224.0
DDR4-1.3333333,0,100,37692584107.94602,79.61355770378326,58.095238095238095,57.673809691845236,37703098032.0
DDR4-1.3333333,0,120,34174004197.901047,79.01513900357831,55.714285714285715,54.92592287314807,34173031134.0
DDR4-1.3333333,0,140,31137679160.419792,78.0602915451895,53.33333333333333,52.634144815853624,31144898142.0
DDR4-1.3333333,0,160,29357030284.85757,77.85636540330418,54.76190476190476,54.20445060511126,29362528824.0
DDR4-1.3333333,0,180,27676660869.56522,77.4183286951144,53.80952380952381,53.36862583421564,27678127320.0
DDR4-1.3333333,0,200,26034240479.76012,77.0565356085937,52.38095238095238,52.00605655015141,26033235486.0
DDR4-1.3333333,0,220,24780847976.011993,76.45834288771688,52.857142857142854,52.45843106146078,24782230734.0
DDR4-1.3333333,0,260,22589879460.269867,76.89246319996926,51.904761904761905,51.18139627953491,22587832134.0
DDR4-1.3333333,0,300,20578984107.94603,75.89708994708994,52.38095238095238,51.75480879387022,20578080708.0
DDR4-1.3333333,0,340,19164526536.731632,76.14905179949073,54.285714285714285,53.7223640930591,19162989930.0
DDR4-1.3333333,0,380,17829123838.08096,75.4184613071748,51.42857142857142,50.71584801789619,17824096356.0
DDR4-1.3333333,0,450,15888887556.22189,74.83972490094939,50.476190476190474,50.07021800175545,15882075768.0
DDR4-1.3333333,0,550,13836214692.653675,74.65075647745437,50.0,49.62381724059543,13830798882.0
DDR4-1.3333333,0,600,12958148125.93703,74.66064458570314,52.38095238095238,51.70803354270083,12951910602.0
DDR4-1.3333333,0,700,11627984407.796103,73.86265857694428,50.95238095238095,50.25033575625839,11620273896.0
DDR4-1.3333333,0,800,10512887556.22189,74.12470422951789,49.047619047619044,48.63864196596605,10505133990.0
DDR4-1.3333333,0,900,9603991604.1979,74.078231292517,50.476190476190474,50.05310975132774,9596008716.0
DDR4-1.3333333,0,1000,8841787106.446777,73.62364405221548,50.476190476190474,49.97205049930127,8832020964.0
DDR4-1.3333333,0,2000,5169328935.532234,71.91070533476548,47.61904761904762,47.00315367507884,5158026030.0
DDR4-1.3333333,0,10000,1917601199.4003,67.54475651646797,43.33333333333333,42.9277360731934,1914605724.0
