type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase,latency_mem_ptr_chase_ram,bandwidth_ram
DDR4-1.3333333,0,0,102970146926.53674,209.9448456305599,186.19047619047618,131.5377272884432,103019414664.0
DDR4-1.3333333,0,5,98555432683.65819,177.39323261772242,152.38095238095238,114.5124756128119,98589898332.0
DDR4-1.3333333,0,10,94333889055.47227,158.46804303116596,131.42857142857142,105.25683188142081,94356317640.0
DDR4-1.3333333,0,15,83841420089.95502,134.35200746965452,108.57142857142857,100.0382282509557,83873760594.0
DDR4-1.3333333,0,20,77495805697.15143,125.97097921737502,98.57142857142857,93.46203008655075,77521172184.0
DDR4-1.3333333,0,25,75173056671.66417,120.75028595508999,89.52380952380952,86.26213415655336,75196149822.0
DDR4-1.3333333,0,30,72407076461.76912,118.61029281277727,89.04761904761904,86.5703481642587,72427651716.0
DDR4-1.3333333,0,35,70181651574.2129,116.48613291470434,85.71428571428571,83.59570558989263,70207047738.0
DDR4-1.3333333,0,40,60864863568.2159,107.4331244308747,75.23809523809524,74.54471436361786,60879543426.0
DDR4-1.3333333,0,45,58505441679.16042,104.9149136577708,72.38095238095238,71.93818079845452,58517027202.0
DDR4-1.3333333,0,50,57579888455.77211,102.59183673469387,71.9047619047619,71.07037827675946,57587743944.0
DDR4-1.3333333,0,55,56683955622.18891,101.73240938166312,68.09523809523809,67.31822568295564,56692729266.0
DDR4-1.3333333,0,60,55046102548.72564,100.68702480992395,69.52380952380952,68.84602522115063,55062754338.0
DDR4-1.3333333,0,65,53839793703.14843,99.89205025075724,68.09523809523809,67.6263804406595,53858516118.0
DDR4-1.3333333,0,70,52001919040.47976,98.90357882283348,68.09523809523809,67.61058994026475,52003174884.0
DDR4-1.3333333,0,80,49388339430.28486,96.47805882916548,64.76190476190476,64.31172460779311,49390699608.0
DDR4-1.3333333,0,90,45680484557.721146,93.68632932625106,60.95238095238095,60.53577751339443,45671953938.0
DDR4-1.3333333,0,100,35446740629.68516,89.28113467609265,54.76190476190476,54.32410560810264,35446209672.0
DDR4-1.3333333,0,120,32184870764.61769,88.50976234649703,55.238095238095234,54.63461686586542,32191500888.0
DDR4-1.3333333,0,140,30156243478.260868,88.48347910592808,56.19047619047619,55.39314663482867,30164816754.0
DDR4-1.3333333,0,160,27970245277.361317,87.88922536756638,55.238095238095234,54.631601115790026,27973240272.0
DDR4-1.3333333,0,180,26192350224.887558,87.52289377289378,54.285714285714285,53.55239458880987,26188048830.0
DDR4-1.3333333,0,200,24952391004.497753,86.84275748515967,54.285714285714285,53.87993834699846,24949138872.0
DDR4-1.3333333,0,220,23789202998.50075,87.35334903192046,54.285714285714285,53.80632434515811,23782394520.0
DDR4-1.3333333,0,260,21585875862.068966,86.411263239473,53.80952380952381,53.24018458100462,21582754836.0
DDR4-1.3333333,0,300,19756598500.74963,86.15396538362181,52.857142857142854,52.16440255411007,19752409506.0
DDR4-1.3333333,0,340,18628135532.233883,85.93214392675308,52.38095238095238,51.70028829250721,18621546372.0
DDR4-1.3333333,0,380,17327256371.814095,86.16016533195557,51.904761904761905,51.30674828266871,17320146648.0
DDR4-1.3333333,0,450,15309845877.06147,85.31875,50.95238095238095,50.52470376311759,15303138348.0
DDR4-1.3333333,0,550,13413469265.367317,84.92635314995563,52.38095238095238,51.64572729114318,13404659016.0
DDR4-1.3333333,0,600,12626211694.152924,84.65500485908649,50.0,49.58307798957695,12619303794.0
DDR4-1.3333333,0,700,11248561319.34033,84.08087679516251,51.42857142857142,50.748479018711976,11243319516.0
DDR4-1.3333333,0,800,10155898050.974512,83.55886649138182,50.0,49.431922235798055,10149143916.0
DDR4-1.3333333,0,900,9367431484.257872,83.77709611451942,49.52380952380952,48.73711621842791,9359757096.0
DDR4-1.3333333,0,1000,8678505547.226387,83.58566003088352,48.095238095238095,47.64863969121599,8671563378.0
DDR4-1.3333333,0,2000,5028883958.02099,81.80137683816041,48.57142857142857,47.95007519875188,5019339072.0
DDR4-1.3333333,0,10000,1790186506.7466269,77.19939275145086,44.285714285714285,43.869926596748165,1779144042.0
DDR4-1.3333333,10,0,100719668965.51724,206.94063079777365,181.9047619047619,129.4333157358329,100763332620.0
DDR4-1.3333333,10,5,96689415292.35384,176.94858203021465,151.42857142857142,115.34821713370542,96728509692.0
DDR4-1.3333333,10,10,92427034482.75862,160.09476348679007,134.76190476190476,109.08391172709779,92474367864.0
DDR4-1.3333333,10,15,81668720839.5802,136.408231292517,110.47619047619047,100.96610052415251,81720081132.0
