type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase
DDR4-1.3333333,0,0,100991827286.35683,195.9495626822157,183.8095238095238
DDR4-1.3333333,0,5,97542227286.35683,169.14420089023264,145.7142857142857
DDR4-1.3333333,0,10,94766978110.94453,155.37322201607915,125.71428571428571
DDR4-1.3333333,0,15,87185703148.4258,132.28531801069943,101.9047619047619
DDR4-1.3333333,0,20,81496841979.0105,122.7379420236563,93.33333333333333
DDR4-1.3333333,0,25,78681494452.77362,118.41307305530908,86.66666666666666
DDR4-1.3333333,0,30,76662404797.60121,116.34199662771091,84.28571428571428
DDR4-1.3333333,0,35,73458298050.97452,112.80103446337212,81.42857142857143
DDR4-1.3333333,0,40,65527556221.88905,103.14022881880025,70.47619047619047
DDR4-1.3333333,0,45,63252025187.406296,100.47894157663065,67.14285714285714
DDR4-1.3333333,0,50,61386545127.43629,100.2233393357343,66.66666666666666
DDR4-1.3333333,0,55,60058799400.29985,99.37032623268286,68.57142857142857
DDR4-1.3333333,0,60,59141910644.67766,98.22801350756129,64.76190476190476
DDR4-1.3333333,0,65,57089506446.77661,96.77536546533507,67.14285714285714
DDR4-1.3333333,0,70,55411017691.15443,96.07296157899779,63.80952380952381
DDR4-1.3333333,0,80,52339497451.27436,93.31348429782872,60.0
DDR4-1.3333333,0,90,47608630884.55772,91.77829521070173,58.095238095238095
DDR4-1.3333333,0,100,36257237781.10944,88.0972130787799,54.285714285714285
DDR4-1.3333333,0,120,33114386806.596706,87.12218900298973,53.33333333333333
DDR4-1.3333333,0,140,30689007496.251877,87.01750509120846,52.857142857142854
DDR4-1.3333333,0,160,28250866566.716644,86.45160595883922,52.857142857142854
DDR4-1.3333333,0,180,26519450674.66267,86.70709302829412,53.33333333333333
DDR4-1.3333333,0,200,25040647676.16192,86.48953758718677,54.285714285714285
DDR4-1.3333333,0,220,23961417691.154423,85.86197749540067,52.38095238095238
DDR4-1.3333333,0,260,21808465367.316345,86.1458710066305,51.904761904761905
DDR4-1.3333333,0,300,19955209595.202396,85.42002551020408,51.904761904761905
DDR4-1.3333333,0,340,18676025187.4063,85.2812074829932,50.476190476190474
DDR4-1.3333333,0,380,17410139730.134933,84.91701525330629,51.42857142857142
DDR4-1.3333333,0,450,15406498350.824589,84.71145476824269,51.42857142857142
DDR4-1.3333333,0,550,13461493253.373312,84.25951121189216,50.476190476190474
DDR4-1.3333333,0,600,12689146626.686657,84.08322835306963,49.52380952380952
DDR4-1.3333333,0,700,11321302548.72564,83.73398439130253,51.42857142857142
DDR4-1.3333333,0,800,10216079160.41979,83.57159550936939,50.0
DDR4-1.3333333,0,900,9394298050.974512,83.07603285216524,49.52380952380952
DDR4-1.3333333,0,1000,8664803598.2009,83.17873734859798,49.047619047619044
DDR4-1.3333333,0,2000,5041309745.127437,81.65599413418062,48.095238095238095
